SHA256,NCS
FA26D4457A695CA8EECE2BDFDF616764B523524F56094976658982C3CC5B8F76,0.54336599
3E169ED78124322B2A5C666DDFD39ED2A95D43B5C57BB84E3ABE394FF2489307,0.578366523
A5691DBB9E71FA5482111A1C8508836385D5022786DBE85DE4BCEE447429EB41,0.591360444
45147A1482968D8DC14471FFF057235DD09842E7DA9BE61D0958EEB2C728DEA1,0.560379152
C47FAC9CA0654679F5680E878DF2189B907143F31B69275C9AEE6F4FCC554C69,0.576587465
8FA35F05C5A2E1149301C2F6AAAE5528E84B7ECF3DA94593A5ABEE7B3C3C6299,0.550787386
79058796590225377C0C478F6C1F46DEC8902ADD50A7E97461D0F41FBD0F1763,0.590380018
76BC31138E0C919A90EE8BA61670CF921FBC14CF78A1C94C515D235FB9CACCEC,0.576219433
4B5802CFEB8CEBCA6721B1A66F7C903E6CDF2EBF5B6B9E38BE3C67249D730265,0.58012911
58532F8ACA8D454932DDB4BA97F24D32B25792DC4298E487C5BD530B80B1A499,0.556977583
4AF11929518BDDBC783BFDD26A3891FCD7B8193E7307FE2B436880DE01FE79BD,0.577808649
5CDC7C204A862A08ECA889ED2A0D729FA18DA3B164A82FCD36FF1118369A0340,0.578359148
333196B187127C35DEFF4CB240EF614CD9261889A98644363530F82AC7040EDC,0.58448574
F59C87979795676CBF10AA5C3C3C491F70C7ED0D284B65FF7549BB5983417BA7,0.582804392
6D27AD04B560AA5A5CA8302EA15BE7D60B4518ADCE9C0B723946D5B7FE5EC0E9,0.586885206
13135C6F4936FBFD13984F859A60D303D653ABB480D52FF3290C545C2373080D,0.577621753
4EEB104BF2ABA59F12221D40F6623CB49CEC085BEC9319A4629F7AB507F377BB,0.553290411
0ED25E9D82F3B09EBD52EEF8B78C2915824E4F4D4DBD1EB5A3B7196032A608DB,0.574989067
7266DF94FB8F92C08E129E334978F3D0ECCA3DB2E54BFBAB6438D422E74918D5,0.579098765
5D95427CE631D3E138DB78C9AA7D281F24C1C273428CA8C249C2029AC3EAEB19,0.591212182
36687F70F9C314C0816FDC2C8B6BCF0B4FD4F76AF85CD509E719EF25815C384A,0.579135698
1083FED1941985C9C23B6C44636D794DECECD51E0B28F4DB01A3E4E91A4417C3,0.590158358
EC1F5DE91D968A75FCBA28AE5C2EF4A79AAEC1972A10BF644011FA3D4FA4E918,0.530341839
E59EC538A5CAA9059AD4725D627758422D54EAF92635665BEEAE31A944194112,0.524399175
1C6B5CDF066AF85AAB5B4E4AC028AD8B2FAB2C3328EB4487ECCBB851A5436161,0.583422058
8795C6A24626F2FE2A1962C9C02FC63C7C8A8D6DC130174EA1573913399ECC73,0.558819551
2FED370064E6CCB6E64014C5E55DEDE8F1B772B19AEC32694BE58CF3A3886472,0.578879498
0BB995D535B156CBEB352446C0B2EC203979FA6EE1D748098C46A3963AEC91C7,0.552047958
70D9620044DA08EF29B5CC231C2AB5A99C95E407CA281A0AC367DB439BD55793,0.540058803
85102AB0ED73B88484109B25C4A934B7894181D635F30AF95603CC45358B9454,0.58258703
FBDD30B8970A90CC8854016DF5A69C8B74558E1E443E3ECB3A95402402ACDA2C,0.57602032
AF7BCA5E5C3A7167378D309862D38D2BB4A9AE6D3C146DF9F518911DF78951B7,0.55874985
07C1102956B997D772690640FF2B318C611FC28E8E8F283ED48654C0BD41BEA2,0.53145582
D6C72BD4ACA77277F59D194674716C722C14477A8E1042FC04CDB6CED4EB3E3A,0.583555058
1E1872D23848302DCF815DEBFC32601C4CD0AFCCAAF9C9C6AA4E30D412E3EA34,0.589314541
AE0BED8E8AE432FFE9B20393E0BC777F8DB43AC6F993918C9C0C8B3D19ACC200,0.555732291
22A45D4CB8E330B505B669D2C62B5300BD65F3CE1C1FEF7853B2800691A11248,0.551686704
B1908D38E44242EECE0CC1D11E51CF482400977F110D8210FF9C12D7365AF743,0.58770107
864E5E2A769E478A6EC43A8A8CF0988488F50A5B7BA7ECFB94D8F88B78386103,0.563424848
051DDEDC9456FEA930F44FF0054614AED9DDA652D95B5F51567ED5F68CA118D3,0.566728115
E148FD344275BE26600A3C46BD8E58922610D331AF273F9B841C1881417ED059,0.529425995
1E83755D25D095732B89EDCEA8E0E24FC4896CDD89B25A5EB1D2AF5914037096,0.594337359
7B9B01EE1FB0D7E42C4A1C993D4FCB38D7673EEAFD6B1DD376F8B662579FBDEF,0.570712909
2C153080FB59344F9F854AB925B9CF546DB0A9B5E4A53C612623E56641526DBC,0.55282346
515C686E363BC5BB3ED957DF803A010AE364C61EF92FE2A72A492026C28F61DC,0.588700328
1FDC1CE464E1EA34664DDA8ACAFA09B88BEEF6DC0D2E705270986A3A58E74883,0.580619104
